begin_node_id,end_node_id,Other Volume
42860563,42860570,387
42446021,596776089,948
62915525,42437379,7499
42446013,596776041,904
103874255,103883742,8593
42884818,279609722,1539
42445972,596776032,839
42445961,596775985,345
103160730,103111281,1979
103861405,1112485531,4630
42509264,42474126,2802
42424334,825418517,11577
42465871,42465874,7047
103873764,103873766,1481
482639370,482640649,1645
1061531839,42431034,2683
1061531707,42439464,888
42445926,596775882,1145
42445936,596775919,923
42445950,596775946,330
42445928,596775870,447
42807818,42919829,4982
42445930,596775914,457
42810494,42833309,2224
471241911,42724759,1985
276065579,42909624,2625
598228721,42488516,166
42445817,596776349,2423
103868835,60007644,5729
42517600,42476725,773
42860230,42860227,5938
276299053,276315696,5150
482539630,2446054619,4988
1061531603,42442480,505
276299131,276314184,943
42467023,42469612,3697
42466506,42486350,1286
42467024,42469614,1982
42860233,42860230,5938
1061531509,42443310,2105
1293095295,103859189,1484
42861322,42828372,1993
1061531491,42442432,1301
42445733,596776103,1178
373867810,42467403,685
1061531757,42428634,2344
1061531815,42428746,479
42860184,42860179,5938
42517036,42488429,1347
1061531454,42442463,448
42860206,42860202,5938
42517081,42486735,1230
42860202,42860194,5938
42465236,42521125,1677
42810468,42826957,1570
1061531790,42431089,2581
42457788,247223720,1140
42910092,42885762,1162
42860164,42860161,5938
42860170,42860167,5938
1112485531,103886478,4630
42763131,42719445,2633
1061531790,42428709,3434
1061531731,42431067,5571
1061531815,42428737,308
42810972,42810967,1438
42908517,42932492,1496
1061531807,42428711,1279
42810477,42826048,5114
2054405674,2054405601,960
598227919,42502712,976
1061531790,42428701,1677
103874255,103869921,6946
2025209406,2025209370,2959
2054405684,2054405674,960
1061531768,42428689,985
1061531645,42421775,2285
42424395,587988392,3315
1061531695,42428065,1278
42466514,42475959,1288
1061531730,42428725,2143
276299309,276299310,5071
1061531731,42428701,3954
1061531645,42431024,2526
1061531730,42428720,1848
1061531731,42428689,1259
42464848,1258875489,2477
42860017,42860012,1303
1061531631,42431108,2119
1061531707,42428590,853
276299282,276298577,5071
42859209,42884832,1145
1061531695,42428645,2435
42517603,42461394,1650
1061531637,42428682,3458
1061531575,42431118,486
1112485544,103880448,1063
103873768,103881214,1873
42859957,42859942,1398
1061531645,42428661,1188
476025435,1895628122,1397
1061531608,42428601,1970
1061531550,42431030,3150
1061531634,42428640,2103
1061531631,42428725,2775
1061531839,42421809,1626
42466401,42476648,1627
42466398,42476648,1479
103873766,103873768,1481
42861161,42818588,1776
42908259,42932921,2234
1061531504,42431102,2225
42465738,42496115,3054
42464848,42523691,897
2912071217,42768516,1985
1061531527,42429999,2799
42427494,246580466,2987
370897167,589100711,2462
607920363,42446424,2532
2912071211,42768535,1985
1061531768,42422016,5557
42439191,589100711,1633
1061531550,42428661,1636
1061531454,42431019,1553
1061531654,42421741,1211
42431187,561035334,1227
42908962,42908954,2472
1061531504,42428720,1708
1061531717,42421749,1668
42445230,596776009,3128
1934650086,2447553689,16597
276299054,276299053,5150
1061531654,42421749,824
42908922,42908916,1574
42516250,42499172,1438
42466306,2312641457,881
1061531454,42428065,1751
1061531447,42428583,1720
42908916,42908911,1715
42465874,42465878,7047
42466249,42466244,1454
42810479,42810477,2178
42466499,42466496,1006
42466512,42466510,1181
42466517,42466514,1608
60007332,1381944089,4032
42517094,42471595,1438
42466513,42466512,1181
42466514,42466513,1722
42516389,42493251,1718
42466500,42466499,1006
42466506,42466503,1183
42466510,42466508,1181
42466508,42466506,1181
42466196,42475971,2204
42466503,42466502,1183
42466502,42466500,1006
42810491,42810479,1088
276065908,42874694,266
42466492,42466491,1183
42466496,42466495,1183
42466495,42466492,1183
42466468,42466454,2369
42466491,42466481,1183
42466481,42466468,1183
42466383,42467919,1261
42466447,42466440,1101
482652239,42874694,1259
42466454,42466447,1101
1061531550,42421809,6078
42809955,42827615,1438
42466440,42466438,931
42466249,42466259,1433
598228039,42480537,4515
103873526,103876555,1979
1061531509,42421972,1690
42516043,42500683,2138
42466405,42466401,1627
42466389,42466395,1479
103878112,2735660226,5970
42466395,42466398,1479
42761233,42761235,1985
1112485711,103861407,2093
42466376,42466378,398
1061531454,42421775,3201
42761235,42761237,1985
42761245,42761249,1985
42861200,42808193,2315
42437305,1061531550,551
2807666064,42885397,1266
42466290,42466299,2547
42466299,42466306,1081
42856797,1064257420,2878
42466282,42466273,1382
42466290,42466282,5465
42466282,42466290,2547
103873489,103873490,8848
