begin_node_id,end_node_id,lanes
103867019,752178858,2
42519271,42480534,1
42467919,42498514,2
42427494,246650840,2
103875882,103882339,3
451020319,451018391,6
276067533,42899921,4
42519258,42478109,1
595314120,595314119,1
370927297,42452882,2
42468453,42479028,1
42468449,42479021,1
42431363,595703314,1
486868138,486876059,1
42518580,42496521,1
42519216,42476721,1
595314036,595314040,1
451018391,451074820,6
42809790,42904563,1
42444353,279151954,1
42811340,42855098,1
2447703173,42864879,1
593301322,593216034,1
42467403,42504433,1
42860617,42896831,1
42447230,596776032,1
246890579,42453442,3
42517597,42519216,1
42466950,42516250,1
42861190,42876764,1
42447166,596776260,1
1657671821,42764835,1
42517603,42517600,1
42517600,42517597,1
2837053797,2318033748,4
42437928,2481877067,1
42466491,42527868,1
42860179,42906104,3
42447105,596776089,1
42809536,42902909,1
103875882,103866383,3
42439454,1061531707,1
593973910,358448394,2
42517465,42517467,1
277768073,2089937994,2
103875777,103867019,3
42466266,42529939,1
42910603,42910593,1
42466440,42523094,1
42860012,42904433,1
100659881,277481443,4
2447703182,42849658,1
595757814,60921026,2
42437670,593915305,1
530754330,103132818,3
42445037,2698702581,2
42859957,42904454,1
42433281,1692433942,1
246890579,42440527,3
42859920,42904507,2
482640607,482640620,1
42443156,595314036,1
42860618,42880331,1
482640620,482639370,1
42435636,593973910,1
42432438,561042200,1
596271291,471243699,6
278642254,486819531,6
42517097,42517094,1
248709733,248709714,1
42517087,42517081,1
248709714,248709733,1
42836513,1904847201,2
42467919,42467912,1
486867548,486867605,2
42441777,595352927,1
42467929,42466383,1
42810501,42856569,1
486867605,486864444,5
42517467,42502653,1
42467848,42467844,1
62915527,42453555,5
246890279,42440918,3
486867405,486868873,1
597328332,597328336,6
486867432,486867405,3
42467912,42464292,1
248709587,248709390,1
42446461,596776078,1
42446461,596776041,1
42438862,1061531695,1
42762533,42766934,1
246890279,42438060,2
42437580,2481865390,2
42517476,42497788,2
42517021,42511729,1
42467033,42488442,1
42517465,42497773,1
42431099,587812578,1
42517910,42483640,1
42861252,42849847,1
246890279,42436024,3
103882084,440243651,3
248709390,248709587,1
42466412,42504046,1
451068157,451068180,3
451068154,451068157,1
42466438,42502404,1
451068180,451066683,3
482652239,42909624,2
62915536,42443549,5
62915531,42443549,5
42467081,42481677,1
62915525,42443570,5
42429211,595729841,2
482640607,482623180,1
42446155,596776546,1
42467396,42469876,1
42446138,596776201,1
62915536,42440253,5
42466454,42497788,1
42446099,596776166,1
42446086,596776260,2
42860618,42860617,1
42860617,42860618,1
42446070,596776177,1
595352904,561035372,2
482640649,482617546,1
42860563,42860570,1
42446021,596776089,1
62915525,42437379,5
42446013,596776041,1
103874255,103883742,3
42884818,279609722,1
42445972,596776032,1
42445961,596775985,1
103160730,103111281,1
103861405,1112485531,2
42509264,42474126,1
42424334,825418517,5
42465871,42465874,3
103873764,103873766,2
482639370,482640649,1
1061531839,42431034,2
1061531707,42439464,1
42445926,596775882,1
42445936,596775919,1
42445950,596775946,1
42445928,596775870,1
42807818,42919829,2
42445930,596775914,1
42810494,42833309,1
471241911,42724759,1
276065579,42909624,2
598228721,42488516,1
42445817,596776349,1
103868835,60007644,2
42517600,42476725,1
42860230,42860227,3
276299053,276315696,3
482539630,2446054619,2
1061531603,42442480,1
276299131,276314184,3
42467023,42469612,3
42466506,42486350,1
42467024,42469614,1
42860233,42860230,3
1061531509,42443310,2
1293095295,103859189,2
42861322,42828372,1
1061531491,42442432,1
42445733,596776103,1
373867810,42467403,1
1061531757,42428634,2
1061531815,42428746,1
42860184,42860179,3
42517036,42488429,1
1061531454,42442463,1
42860206,42860202,3
42517081,42486735,1
42860202,42860194,3
42465236,42521125,1
42810468,42826957,1
1061531790,42431089,2
42457788,247223720,1
42910092,42885762,1
42860164,42860161,3
42860170,42860167,3
1112485531,103886478,2
42763131,42719445,1
1061531790,42428709,2
1061531731,42431067,2
1061531815,42428737,1
42810972,42810967,1
42908517,42932492,1
1061531807,42428711,2
42810477,42826048,2
2054405674,2054405601,1
598227919,42502712,1
1061531790,42428701,2
103874255,103869921,3
2025209406,2025209370,2
2054405684,2054405674,1
1061531768,42428689,2
1061531645,42421775,2
42424395,587988392,2
1061531695,42428065,2
42466514,42475959,1
1061531730,42428725,1
276299309,276299310,2
1061531731,42428701,2
1061531645,42431024,2
1061531730,42428720,1
1061531731,42428689,2
42464848,1258875489,3
42860017,42860012,1
1061531631,42431108,1
1061531707,42428590,1
276299282,276298577,2
42859209,42884832,1
1061531695,42428645,2
42517603,42461394,1
1061531637,42428682,2
1061531575,42431118,1
1112485544,103880448,2
103873768,103881214,3
42859957,42859942,1
1061531645,42428661,2
476025435,1895628122,1
1061531608,42428601,2
1061531550,42431030,2
1061531634,42428640,2
1061531631,42428725,1
1061531839,42421809,2
42466401,42476648,1
42466398,42476648,1
103873766,103873768,2
42861161,42818588,2
42908259,42932921,1
1061531504,42431102,1
42465738,42496115,1
42464848,42523691,1
2912071217,42768516,1
1061531527,42429999,2
42427494,246580466,1
370897167,589100711,2
607920363,42446424,2
2912071211,42768535,1
1061531768,42422016,2
42439191,589100711,1
1061531550,42428661,2
1061531454,42431019,2
1061531654,42421741,1
42431187,561035334,1
42908962,42908954,1
1061531504,42428720,1
1061531717,42421749,1
42445230,596776009,3
1934650086,2447553689,6
276299054,276299053,3
1061531654,42421749,1
42908922,42908916,1
42516250,42499172,1
42466306,2312641457,1
1061531454,42428065,2
1061531447,42428583,2
42908916,42908911,1
42465874,42465878,3
42466249,42466244,1
42810479,42810477,2
42466499,42466496,1
42466512,42466510,1
42466517,42466514,1
60007332,1381944089,6
42517094,42471595,1
42466513,42466512,1
42466514,42466513,1
42516389,42493251,1
42466500,42466499,1
42466506,42466503,1
42466510,42466508,1
42466508,42466506,1
42466196,42475971,2
42466503,42466502,1
42466502,42466500,1
42810491,42810479,1
276065908,42874694,1
42466492,42466491,1
42466496,42466495,1
42466495,42466492,1
42466468,42466454,2
42466491,42466481,1
42466481,42466468,1
42466383,42467919,1
42466447,42466440,1
482652239,42874694,2
42466454,42466447,1
1061531550,42421809,2
42809955,42827615,1
42466440,42466438,1
42466249,42466259,1
598228039,42480537,3
103873526,103876555,1
1061531509,42421972,2
42516043,42500683,1
42466405,42466401,1
42466389,42466395,1
103878112,2735660226,3
42466395,42466398,1
42761233,42761235,1
1112485711,103861407,2
42466376,42466378,1
1061531454,42421775,2
42761235,42761237,1
42761245,42761249,1
42861200,42808193,1
42437305,1061531550,1
2807666064,42885397,1
42466290,42466299,2
42466299,42466306,1
42856797,1064257420,2
42466282,42466273,1
42466290,42466282,2
42466282,42466290,2
103873489,103873490,3
42466266,42466273,1
42466273,42466282,1
42466273,42466266,1
42466259,42466249,1
42466266,42466259,1
42466259,42466266,1
42465878,42465881,3
277385050,42866377,1
42429394,595682316,1
42441299,595314120,1
42466239,42466244,1
42466244,42466249,1
42466244,42466239,1
42466234,42466227,1
42466239,42466234,1
42466234,42466239,1
42466209,42466204,1
42466219,42466227,1
42466227,42466234,1
42466227,42466219,1
42466214,42466209,1
42466219,42466214,1
42466214,42466219,1
42761088,42761092,1
42466191,42466189,1
42466202,42466200,1
42466204,42466202,1
42860194,42835415,3
42466192,42466191,1
42466200,42466196,1
42466196,42466192,1
42466179,42466172,1
42466186,42466184,1
42466189,42466188,1
42466188,42466186,1
42466180,42466179,1
42466184,42466183,1
42466183,42466180,1
42911782,593300772,2
42465233,42491625,3
597444023,106100961,3
1064257394,42846335,2
42761082,42761088,1
42761006,42763131,1
276065579,42874694,1
276298606,276299309,2
42466172,42465649,1
42465234,42491625,2
42515829,42497780,1
42515844,42497624,1
561042202,100522731,1
42757938,2025188866,2
42808179,42872060,1
2757013684,42860247,3
42465893,42465899,3
